,composerName,season,living
62,"Spohr,  Louis",1844-45,Y
63,"Mozart,  Wolfgang  Amadeus",1844-45,N
64,"Beethoven,  Ludwig  van",1844-45,N
65,"Marschner,  Heinrich  August",1844-45,Y
66,"Beethoven,  Ludwig  van",1844-45,N
67,"Donizetti,  Gaetano",1844-45,Y
68,"Lindpaintner,  Peter  Von",1844-45,
69,"Bennett,  William  Sterndale",1844-45,Y
70,"Meyerbeer,  Giacomo",1844-45,Y
71,"Bochsa,  Robert  N. C.",1844-45,
72,"Ries,  Ferdinand",1844-45,N
73,"Beethoven,  Ludwig  van",1844-45,N
74,"Mendelssohn,  Felix",1844-45,Y
75,"Kreutzer,  Conradin",1844-45,Y
76,"Hummel,  Johann",1844-45,N
77,"Meyerbeer,  Giacomo",1844-45,Y
78,"Weber,  Carl  Maria Von",1844-45,N
79,"Mendelssohn,  Felix",1845-46,Y
80,"Cherubini,  Luigi",1845-46,Y
81,"Mercadante,  Giuseppe  Saverio",1845-46,
82,"Traditional,",1845-46,Y
83,"Rossini,  Gioachino",1845-46,Y
84,"Heller,  Stephen [István]",1845-46,Y
85,"Mehul [Méhul],  Etienne  Nicolas",1845-46,N
86,"Beethoven,  Ludwig  van",1845-46,N
87,"Loder,  George, Jr.",1845-46,
88,"Mendelssohn,  Felix",1845-46,Y
89,"Lindpaintner,  Peter  Von",1845-46,
90,"Beriot,  Charles-Auguste  de",1845-46,Y
91,"Reissiger,  Karl  Gottlieb",1845-46,Y
92,"Kalliwoda,  Johann  W.",1845-46,
93,"Cherubini,  Luigi",1845-46,Y
94,"Weber,  Carl  Maria Von",1845-46,N
95,"Rossini,  Gioachino",1845-46,Y
96,"Mozart,  Wolfgang  Amadeus",1845-46,N
97,"Furstenau,  Anton  Bernhard",1845-46,Y
98,"Berlioz,  Hector",1845-46,Y
99,"Mozart,  Wolfgang  Amadeus",1845-46,N
100,"Mendelssohn,  Felix",1845-46,Y
101,"Beethoven,  Ludwig  van",1845-46,N
102,"Traditional,",1845-46,Y
103,"Rossini,  Gioachino",1845-46,Y
104,"Weber,  Carl  Maria Von",1845-46,N
105,"Donizetti,  Gaetano",1845-46,Y
106,"Mozart,  Wolfgang  Amadeus",1845-46,N
107,"Donizetti,  Gaetano",1845-46,Y
108,"Mendelssohn,  Felix",1845-46,Y
109,"Verdi,  Giuseppe",1845-46,Y
110,"Weber,  Carl  Maria Von",1845-46,N
111,"Beethoven,  Ludwig  van",1845-46,N
112,"Spohr,  Louis",1846-47,Y
113,"Reissiger,  Karl  Gottlieb",1846-47,Y
114,"Chopin,  Frédéric",1846-47,Y
115,"Berlioz,  Hector",1846-47,Y
116,"Mozart,  Wolfgang  Amadeus",1846-47,N
117,"Meyerbeer,  Giacomo",1846-47,Y
118,"Bristow,  George  Frederick",1846-47,Y
119,"Beethoven,  Ludwig  van",1846-47,N
120,"Bellini,  Vincenzo",1846-47,N
121,"Spohr,  Louis",1846-47,Y
122,"Weber,  Carl  Maria Von",1846-47,N
123,"Beethoven,  Ludwig  van",1846-47,N
124,"Spohr,  Louis",1846-47,Y
125,"Mozart,  Wolfgang  Amadeus",1846-47,N
126,"Traditional,",1846-47,Y
127,"Haydn,  Franz  Joseph",1846-47,N
128,"Hiller,  Ferdinand",1846-47,Y
129,"Beethoven,  Ludwig  van",1846-47,N
130,"Rossini,  Gioachino",1846-47,Y
131,"Beriot,  Charles-Auguste  de",1846-47,Y
132,"Mendelssohn,  Felix",1846-47,Y
133,"Traditional,",1846-47,Y
134,"Eisenhofer,  Franz  Xaver",1846-47,
135,"Weber,  Carl  Maria Von",1846-47,N
136,"Spohr,  Louis",1847-48,Y
137,"Mendelssohn,  Felix",1847-48,Y
138,"Mozart,  Wolfgang  Amadeus",1847-48,N
139,"Mendelssohn,  Felix",1847-48,Y
140,"Verdi,  Giuseppe",1847-48,Y
141,"Beethoven,  Ludwig  van",1847-48,N
142,"Mendelssohn,  Felix",1847-48,Y
143,"Weber,  Carl  Maria Von",1847-48,N
144,"Dussek,  Jan  Ladislav",1847-48,N
145,"Lindpaintner,  Peter  Von",1847-48,
146,"Beethoven,  Ludwig  van",1847-48,N
147,"Mendelssohn,  Felix",1847-48,Y
148,"Mendelssohn,  Felix",1847-48,Y
149,"Mozart,  Wolfgang  Amadeus",1847-48,N
150,"Mendelssohn,  Felix",1847-48,Y
151,"Beethoven,  Ludwig  van",1847-48,N
152,"Mendelssohn,  Felix",1847-48,Y
153,"Mozart,  Wolfgang  Amadeus",1847-48,N
154,"Lindpaintner,  Peter  Von",1847-48,
155,"Mozart,  Wolfgang  Amadeus",1847-48,N
156,"Weber,  Carl  Maria Von",1847-48,N
157,"Spohr,  Louis",1847-48,Y
158,"Mozart,  Wolfgang  Amadeus",1847-48,N
159,"Moscheles,  Ignaz",1847-48,Y
160,"Mendelssohn,  Felix",1847-48,Y
161,"Lachner,  Franz",1847-48,Y
162,"Spohr,  Louis",1847-48,Y
163,"Kalliwoda,  Johann  W.",1847-48,
164,"Gade,  Niels",1848-49,Y
165,"Vieuxtemps,  Henri",1848-49,Y
166,"Bennett,  William  Sterndale",1848-49,Y
167,"Weber,  Carl  Maria Von",1848-49,N
168,"Ries,  Ferdinand",1848-49,N
169,"Spohr,  Louis",1848-49,Y
170,"Weber,  Carl  Maria Von",1848-49,N
171,"Jacobi,  Frederick",1848-49,Y
172,"Granz,  Norman",1848-49,Y
173,"Lindpaintner,  Peter  Von",1848-49,
174,"Beethoven,  Ludwig  van",1848-49,N
175,"Mendelssohn,  Felix",1848-49,Y
176,"Schmitz,  Henry",1848-49,
177,"Schumann,  Robert",1848-49,Y
178,"Marschner,  Heinrich  August",1848-49,Y
179,"Lachner,  Franz",1848-49,Y
180,"Donizetti,  Gaetano",1848-49,Y
181,"Mendelssohn,  Felix",1848-49,Y
182,"Costa,  Sir  Michael",1848-49,Y
183,"Hummel,  Johann",1848-49,N
184,"Weber,  Carl  Maria Von",1848-49,N
185,"Beethoven,  Ludwig  van",1849-50,N
186,"Spohr,  Louis",1849-50,Y
187,"Nicholson,  Charles",1849-50,Y
188,"Mendelssohn,  Felix",1849-50,Y
189,"Rossini,  Gioachino",1849-50,Y
190,"Spohr,  Louis",1849-50,Y
191,"Mendelssohn,  Felix",1849-50,Y
192,"Mendelssohn,  Felix",1849-50,Y
193,"Lindpaintner,  Peter  Von",1849-50,
194,"Meyerbeer,  Giacomo",1849-50,Y
195,"Beethoven,  Ludwig  van",1849-50,N
196,"Mendelssohn,  Felix",1849-50,Y
197,"Mendelssohn,  Felix",1849-50,Y
198,"Weber,  Carl  Maria Von",1849-50,N
199,"Hummel,  Johann",1849-50,N
200,"Maurer,  Ludwig  Wilhelm",1849-50,Y
201,"Rossini,  Gioachino",1849-50,Y
202,"Gade,  Niels",1850-51,Y
203,"Loder,  George, Jr.",1850-51,
204,"Benedict,  Jules",1850-51,Y
205,"Fuchs,  H.",1850-51,Y
206,"Lindpaintner,  Peter  Von",1850-51,
207,"Schubert,  Franz",1850-51,N
208,"Cherubini,  Luigi",1850-51,N
209,"David,  Ferdinand",1850-51,Y
210,"Mendelssohn,  Felix",1850-51,Y
211,"Spontini,  Gasparo",1850-51,Y
212,"Beethoven,  Ludwig  van",1850-51,N
213,"Hummel,  Johann",1850-51,N
214,"Haydn,  Franz  Joseph",1850-51,N
215,"Mozart,  Wolfgang  Amadeus",1850-51,N
216,"Mendelssohn,  Felix",1850-51,Y
217,"Beethoven,  Ludwig  van",1850-51,N
218,"Mendelssohn,  Felix",1850-51,Y
219,"Heinemeyer,  Ernst  Wilhelm",1850-51,
220,"Mozart,  Wolfgang  Amadeus",1850-51,N
221,"Dancla,  Jean  Charles",1850-51,
222,"Wallace,  William  Vincent",1850-51,Y
223,"Litolff,  Henry  Charles",1850-51,Y
224,"Mendelssohn,  Felix",1851-52,Y
225,"Mehul [Méhul],  Etienne  Nicolas",1851-52,N
226,"Beriot,  Charles-Auguste  de",1851-52,Y
227,"Mendelssohn,  Felix",1851-52,Y
228,"Weber,  Carl  Maria Von",1851-52,N
229,"Lindpaintner,  Peter  Von",1851-52,
230,"Beethoven,  Ludwig  van",1851-52,N
231,"Bennett,  William  Sterndale",1851-52,Y
232,"Mendelssohn,  Felix",1851-52,Y
233,"Reicha,  Antoine(-Joseph)",1851-52,
234,"Weber,  Carl  Maria Von",1851-52,N
235,"Beethoven,  Ludwig  van",1851-52,N
236,"Weber,  Carl  Maria Von",1851-52,N
237,"Mendelssohn,  Felix",1851-52,Y
238,"Mozart,  Wolfgang  Amadeus",1851-52,N
239,"Weber,  Carl  Maria Von",1851-52,N
240,"Kalkbrenner,  Friedrich [Frédéric]",1851-52,Y
241,"Schubert,  Franz",1851-52,N
242,"Schubert,  Franz",1851-52,N
243,"Weber,  Carl  Maria Von",1851-52,N
244,"Spohr,  Louis",1851-52,Y
245,"Bellini,  Vincenzo",1851-52,N
246,"Mendelssohn,  Felix",1851-52,Y
247,"Bennett,  William  Sterndale",1851-52,Y
248,"Wallace,  William  Vincent",1851-52,Y
249,"Haase,  Carl  F.W.",1851-52,
250,"Mendelssohn,  Felix",1851-52,Y
251,"Ries,  Ferdinand",1851-52,N
252,"Beethoven,  Ludwig  van",1852-53,N
253,"Mendelssohn,  Felix",1852-53,Y
254,"Mendelssohn,  Felix",1852-53,Y
255,"Hummel,  Johann",1852-53,N
256,"Gade,  Niels",1852-53,Y
257,"Abt,  Franz",1852-53,Y
258,"Maurer,  Ludwig  Wilhelm",1852-53,Y
259,"Donizetti,  Gaetano",1852-53,Y
260,"Litolff,  Henry  Charles",1852-53,Y
261,"Schubert,  Franz",1852-53,N
262,"Mendelssohn,  Felix",1852-53,Y
263,"Gumbert,  Friedrich  Adolf",1852-53,
264,"Paganini,  Nicolò",1852-53,N
265,"Fesca,  Alexander  (Ernst)",1852-53,
266,"Lobe,  Johann  Christian",1852-53,Y
267,"Beethoven,  Ludwig  van",1852-53,N
268,"Spohr,  Louis",1852-53,Y
269,"Beriot,  Charles-Auguste  de",1852-53,Y
270,"Mendelssohn,  Felix",1852-53,Y
271,"Bochsa,  Robert  N. C.",1852-53,
272,"Mason,  William",1852-53,Y
273,"Gade,  Niels",1852-53,Y
274,"Schumann,  Robert",1852-53,Y
275,"Mozart,  Wolfgang  Amadeus",1852-53,N
276,"Weber,  Carl  Maria Von",1852-53,N
277,"Beethoven,  Ludwig  van",1852-53,N
278,"Spohr,  Louis",1852-53,Y
279,"Gockel,  August",1852-53,
280,"Bordese,  Luigi",1852-53,
281,"Weber,  Carl  Maria Von",1852-53,N
282,"Spohr,  Louis",1853-54,Y
283,"Parish-Alvars,  Elias",1853-54,Y
284,"Mozart,  Wolfgang  Amadeus",1853-54,N
285,"Berlioz,  Hector",1853-54,Y
286,"Vieuxtemps,  Henri",1853-54,Y
287,"Fesca,  Alexander  (Ernst)",1853-54,
288,"Donizetti,  Gaetano",1853-54,Y
289,"Marschner,  Heinrich  August",1853-54,Y
290,"Schumann,  Robert",1853-54,Y
291,"Schubert,  Franz",1853-54,N
292,"Weber,  Carl  Maria Von",1853-54,N
293,"Beethoven,  Ludwig  van",1853-54,N
294,"Handel,  George  Frideric",1853-54,N
295,"Mendelssohn,  Felix",1853-54,N
296,"Gade,  Niels",1853-54,Y
297,"Lortzing,  Albert",1853-54,Y
298,"Spohr,  Louis",1853-54,Y
299,"Spohr,  Louis",1853-54,Y
300,"Chopin,  Frédéric",1853-54,Y
301,"Mendelssohn,  Felix",1853-54,N
302,"Beethoven,  Ludwig  van",1853-54,N
303,"Schneider,  Johann  C. Friedrich",1853-54,
304,"Spohr,  Louis",1853-54,Y
305,"Baumann,  F.",1853-54,
306,"Spohr,  Louis",1853-54,Y
307,"Wallace,  William  Vincent",1853-54,Y
308,"Meyerbeer,  Giacomo",1853-54,Y
309,"Beethoven,  Ludwig  van",1853-54,N
310,"Beethoven,  Ludwig  van",1854-55,N
311,"Weber,  Carl  Maria Von",1854-55,N
312,"Traditional,",1854-55,Y
313,"Gade,  Niels",1854-55,Y
314,"Bellini,  Vincenzo",1854-55,N
315,"Eisfeld,  Theodore",1854-55,Y
316,"Lindpaintner,  Peter  Von",1854-55,
317,"Mendelssohn,  Felix",1854-55,N
318,"Donizetti,  Gaetano",1854-55,N
319,"Sainton,  Prosper",1854-55,Y
320,"Weber,  Carl  Maria Von",1854-55,N
321,"Rossini,  Gioachino",1854-55,Y
322,"Schreiber,  Louis",1854-55,
323,"Wallace,  William  Vincent",1854-55,Y
324,"Mozart,  Wolfgang  Amadeus",1854-55,N
325,"Fuchs,  H.",1854-55,Y
326,"Mozart,  Wolfgang  Amadeus",1854-55,N
327,"Beethoven,  Ludwig  van",1854-55,N
328,"Mendelssohn,  Felix",1854-55,N
329,"Fesca,  Alexander  (Ernst)",1854-55,
330,"Spohr,  Louis",1854-55,Y
331,"Spontini,  Gasparo",1854-55,Y
332,"Beethoven,  Ludwig  van",1854-55,N
333,"Mendelssohn,  Felix",1854-55,N
334,"Wagner,  Richard",1854-55,Y
335,"Weber,  Carl  Maria Von",1854-55,N
336,"Mendelssohn,  Felix",1854-55,N
337,"Cherubini,  Luigi",1854-55,N
338,"Eisfeld,  Theodore",1854-55,Y
339,"Beethoven,  Ludwig  van",1854-55,N
340,"Eisfeld,  Theodore",1854-55,Y
341,"Schubert,  Franz",1854-55,N
342,"Chopin,  Frédéric",1854-55,Y
343,"Beethoven,  Ludwig  van",1854-55,N
344,"Beethoven,  Ludwig  van",1855-56,N
345,"Mendelssohn,  Felix",1855-56,N
346,"Mollenhauer,  Friedrich",1855-56,
347,"Gluck,  Christoph  Willibald",1855-56,N
348,"Dessauer,  Josef",1855-56,Y
349,"Schubert,  Franz",1855-56,N
350,"Mollenhauer,  Friedrich",1855-56,
351,"Wagner,  Richard",1855-56,Y
352,"Gade,  Niels",1855-56,Y
353,"Mercadante,  Giuseppe  Saverio",1855-56,
354,"Weber,  Carl  Maria Von",1855-56,N
355,"Berlioz,  Hector",1855-56,Y
356,"Parish-Alvars,  Elias",1855-56,N
357,"Verdi,  Giuseppe",1855-56,Y
358,"Weber,  Carl  Maria Von",1855-56,N
359,"Bristow,  George  Frederick",1855-56,Y
360,"Mendelssohn,  Felix",1855-56,N
361,"Cherubini,  Luigi",1855-56,N
362,"Mendelssohn,  Felix",1855-56,N
363,"Bennett,  William  Sterndale",1855-56,Y
364,"Beethoven,  Ludwig  van",1855-56,N
365,"Vieuxtemps,  Henri",1855-56,Y
366,"Verdi,  Giuseppe",1855-56,Y
367,"Mendelssohn,  Felix",1855-56,N
368,"Mercadante,  Giuseppe  Saverio",1855-56,
369,"Mollenhauer,  Friedrich",1855-56,
370,"Marschner,  Heinrich  August",1855-56,Y
371,"Beethoven,  Ludwig  van",1856-57,N
372,"Mozart,  Wolfgang  Amadeus",1856-57,N
373,"David,  Ferdinand",1856-57,Y
374,"Cherubini,  Luigi",1856-57,N
375,"Chopin,  Frédéric",1856-57,N
376,"Weber,  Carl  Maria Von",1856-57,N
377,"Goldbeck,  Robert",1856-57,
378,"Rode,  Jacques  Pierre Joseph",1856-57,
379,"Gade,  Niels",1856-57,Y
380,"Mozart,  Wolfgang  Amadeus",1856-57,N
381,"Mozart,  Wolfgang  Amadeus",1856-57,N
382,"Henselt,  Adolf  Von",1856-57,Y
383,"Wagner,  Richard",1856-57,Y
384,"Pacini,  Giovanni",1856-57,Y
385,"Gottschalk,  Louis  Moreau",1856-57,Y
386,"Schindelmeisser,  Ludwig",1856-57,
387,"Schumann,  Robert",1856-57,Y
388,"Haydn,  Franz  Joseph",1856-57,N
389,"Ernst,  Heinrich  Wilhelm",1856-57,Y
390,"Rietz,  Julius",1856-57,Y
391,"Weber,  Carl  Maria Von",1856-57,N
392,"Mollenhauer,  Friedrich",1856-57,
393,"Beethoven,  Ludwig  van",1856-57,N
394,"Beethoven,  Ludwig  van",1856-57,N
395,"Mendelssohn,  Felix",1856-57,N
396,"Schumann,  Robert",1856-57,Y
397,"Litolff,  Henry  Charles",1856-57,Y
398,"Meyerbeer,  Giacomo",1856-57,Y
399,"Mendelssohn,  Felix",1856-57,N
400,"Spohr,  Louis",1857-58,Y
401,"Weber,  Carl  Maria Von",1857-58,N
402,"Goltermann,  Georg  Eduard",1857-58,
403,"Schumann,  Robert",1857-58,Y
404,"Servais,  Adrien  Francois",1857-58,Y
405,"Bellini,  Vincenzo",1857-58,N
406,"Beethoven,  Ludwig  van",1857-58,N
407,"Beethoven,  Ludwig  van",1857-58,N
408,"Mozart,  Wolfgang  Amadeus",1857-58,N
409,"Mendelssohn,  Felix",1857-58,N
410,"Litolff,  Henry  Charles",1857-58,Y
411,"Mercadante,  Giuseppe  Saverio",1857-58,
412,"Nicolai,  Otto",1857-58,N
413,"Hiller,  Ferdinand",1857-58,Y
414,"Mozart,  Wolfgang  Amadeus",1857-58,N
415,"Eisfeld,  Theodore",1857-58,Y
416,"Beethoven,  Ludwig  van",1857-58,N
417,"Henselt,  Adolf  Von",1857-58,Y
418,"Meyerbeer,  Giacomo",1857-58,Y
419,"Mozart,  Wolfgang  Amadeus",1857-58,N
420,"Lindpaintner,  Peter  Von",1857-58,
421,"Mendelssohn,  Felix",1857-58,N
422,"Mozart,  Wolfgang  Amadeus",1857-58,N
423,"Spohr,  Louis",1857-58,Y
424,"Schumann,  Robert",1857-58,Y
425,"Pacini,  Giovanni",1857-58,Y
426,"Wagner,  Richard",1857-58,Y
427,"Gade,  Niels",1858-59,Y
428,"Mozart,  Wolfgang  Amadeus",1858-59,N
429,"Fuchs,  H.",1858-59,Y
430,"Spohr,  Louis",1858-59,Y
431,"Lachner,  Franz",1858-59,Y
432,"Schreiber,  Louis",1858-59,
433,"Wallace,  William  Vincent",1858-59,Y
434,"Rossini,  Gioachino",1858-59,Y
435,"Beethoven,  Ludwig  van",1858-59,N
436,"Mendelssohn,  Felix",1858-59,N
437,"Beethoven,  Ludwig  van",1858-59,N
438,"Schubert,  Franz",1858-59,N
439,"Mendelssohn,  Felix",1858-59,N
440,"Wagner,  Richard",1858-59,Y
441,"Weber,  Carl  Maria Von",1858-59,N
442,"Haydn,  Franz  Joseph",1858-59,N
443,"Donizetti,  Gaetano",1858-59,N
444,"Chopin,  Frédéric",1858-59,N
445,"Schumann,  Robert",1858-59,Y
446,"Topliffe,",1858-59,
447,"Field,  John",1858-59,Y
448,"Rubinstein,  Anton",1858-59,Y
449,"Ries,  Ferdinand",1858-59,N
450,"Bristow,  George  Frederick",1858-59,Y
451,"Spohr,  Louis",1858-59,Y
452,"Schumann,  Robert",1858-59,Y
453,"Beethoven,  Ludwig  van",1858-59,N
454,"Lachner,  Franz",1858-59,Y
455,"Liszt,  Franz",1858-59,Y
456,"Marschner,  Heinrich  August",1858-59,Y
457,"Beethoven,  Ludwig  van",1858-59,N
458,"Meyerbeer,  Giacomo",1858-59,Y
459,"Mendelssohn,  Felix",1858-59,N
460,"Liszt,  Franz",1858-59,Y
461,"Arne,  Thomas",1858-59,N
462,"Litolff,  Henry  Charles",1858-59,Y
463,"Chopin,  Frédéric",1858-59,N
464,"Weber,  Carl  Maria Von",1858-59,N
465,"Schubert,  Franz",1859-60,N
466,"Mendelssohn,  Felix",1859-60,N
467,"Mozart,  Wolfgang  Amadeus",1859-60,N
468,"Napoleon,  Arthur",1859-60,
469,"Wagner,  Richard",1859-60,Y
470,"Stigelli,  Giorgio",1859-60,
471,"Beethoven,  Ludwig  van",1859-60,N
472,"Spohr,  Louis",1859-60,Y
473,"Mendelssohn,  Felix",1859-60,N
474,"Schumann,  Robert",1859-60,Y
475,"Wagner,  Richard",1859-60,Y
476,"Beethoven,  Ludwig  van",1859-60,N
477,"Schubert,  Franz",1859-60,N
478,"Satter,  Gustave",1859-60,Y
479,"Weber,  Carl  Maria Von",1859-60,N
480,"Mendelssohn,  Felix",1859-60,N
481,"Mozart,  Wolfgang  Amadeus",1859-60,N
482,"Moscheles,  Ignaz",1859-60,Y
483,"Schumann,  Robert",1859-60,Y
484,"Chopin,  Frédéric",1859-60,N
485,"Auber,  Daniel-François",1859-60,
486,"Lachner,  Franz",1859-60,Y
487,"Beethoven,  Ludwig  van",1859-60,N
488,"Verdi,  Giuseppe",1859-60,Y
489,"Hummel,  Johann",1859-60,N
490,"Liszt,  Franz",1859-60,Y
491,"Litolff,  Henry  Charles",1859-60,Y
492,"Donizetti,  Gaetano",1859-60,N
493,"Weber,  Carl  Maria Von",1859-60,N
494,"Mozart,  Wolfgang  Amadeus",1859-60,N
495,"Abt,  Franz",1859-60,Y
496,"Weber,  Carl  Maria Von",1859-60,N
497,"Haertel,  A.",1859-60,
498,"Beethoven,  Ludwig  van",1859-60,N
499,"Schumann,  Robert",1860-61,Y
500,"Meyerbeer,  Giacomo",1860-61,Y
501,"Mendelssohn,  Felix",1860-61,N
502,"Vieuxtemps,  Henri",1860-61,Y
503,"Wagner,  Richard",1860-61,Y
504,"Beethoven,  Ludwig  van",1860-61,N
505,"Beethoven,  Ludwig  van",1860-61,N
506,"Schumann,  Robert",1860-61,Y
507,"Liszt,  Franz",1860-61,Y
508,"Kummer,  Friedrich  August",1860-61,Y
509,"Liszt,  Franz",1860-61,Y
510,"Weber,  Carl  Maria Von",1860-61,N
511,"Schumann,  Robert",1860-61,Y
512,"Kreutzer,  Conradin",1860-61,N
513,"Schreiber,  Louis",1860-61,
514,"Haydn,  Franz  Joseph",1860-61,N
515,"Schubert,  Franz",1860-61,N
516,"Eisfeld,  Theodore",1860-61,Y
517,"Wagner,  Richard",1860-61,Y
518,"Beethoven,  Ludwig  van",1860-61,N
519,"Mozart,  Wolfgang  Amadeus",1860-61,N
520,"Schumann,  Robert",1860-61,Y
521,"Mollenhauer,  Edward",1860-61,Y
522,"Tedesco,  Ignaz  Amadeus",1860-61,
523,"Lubeck,  Ernst",1860-61,
524,"Berlioz,  Hector",1860-61,Y
525,"Mozart,  Wolfgang  Amadeus",1860-61,N
526,"Mendelssohn,  Felix",1860-61,N
527,"Saar,  Wiiliam",1860-61,
528,"Beethoven,  Ludwig  van",1860-61,N
529,"Mendelssohn,  Felix",1860-61,N
530,"Lucas,",1860-61,Y
531,"Handel,  George  Frideric",1860-61,N
532,"Traditional,",1860-61,Y
533,"Shaw,  David  T.",1860-61,
534,"Wallace,",1860-61,Y
535,"Hopkins,  Charles  Jerome",1860-61,Y
536,"Otten,  William  F.",1860-61,
537,"Bellini,  Vincenzo",1860-61,N
538,"Donizetti,  Gaetano",1860-61,N
539,"Rossini,  Gioachino",1860-61,Y
540,"Traditional,",1860-61,Y
541,"Handel,  George  Frideric",1860-61,N
542,"Wallace,",1860-61,Y
543,"Verdi,  Giuseppe",1860-61,Y
544,"Bristow,  George  Frederick",1860-61,Y
545,"Mills,  Sebastian  Bach",1860-61,Y
546,"Bristow,  George  Frederick",1860-61,Y
547,"Verzano,",1860-61,
548,"Mercadante,  Giuseppe  Saverio",1860-61,
549,"Rossini,  Gioachino",1860-61,Y
550,"Anthem,",1860-61,Y
551,"Beethoven,  Ludwig  van",1861-62,N
552,"Bellini,  Vincenzo",1861-62,N
553,"Chopin,  Frédéric",1861-62,N
554,"Berlioz,  Hector",1861-62,Y
555,"Pacini,  Giovanni",1861-62,Y
556,"Henselt,  Adolf  Von",1861-62,Y
557,"Wagner,  Richard",1861-62,Y
558,"Mozart,  Wolfgang  Amadeus",1861-62,N
559,"Stradella,  Alessandro",1861-62,N
560,"Mendelssohn,  Felix",1861-62,N
561,"Beethoven,  Ludwig  van",1861-62,N
562,"Donizetti,  Gaetano",1861-62,N
563,"Liszt,  Franz",1861-62,Y
564,"Schumann,  Robert",1861-62,Y
565,"Mendelssohn,  Felix",1861-62,N
566,"Beethoven,  Ludwig  van",1861-62,N
567,"Brahms,  Johannes",1861-62,Y
568,"Bellini,  Vincenzo",1861-62,N
569,"Liszt,  Franz",1861-62,Y
570,"Eisfeld,  Theodore",1861-62,Y
571,"Weber,  Carl  Maria Von",1861-62,N
572,"Beethoven,  Ludwig  van",1861-62,N
573,"Mendelssohn,  Felix",1861-62,N
574,"Goldbeck,  Robert",1861-62,
575,"Schumann,  Robert",1861-62,Y
576,"Neukirchner,  Wenzel",1861-62,
577,"Marschner,  Heinrich  August",1861-62,Y
578,"Schubert,  Franz",1861-62,N
579,"Lipinsky,  Karl  Joseph",1861-62,
580,"Liszt,  Franz",1861-62,Y
581,"Mozart,  Wolfgang  Amadeus",1861-62,N
582,"David,  Ferdinand",1861-62,Y
583,"Beethoven,  Ludwig  van",1861-62,N
584,"Beethoven,  Ludwig  van",1862-63,N
585,"Schubert,  Franz",1862-63,N
586,"Schumann,  Robert",1862-63,N
587,"Mendelssohn,  Felix",1862-63,N
588,"Chopin,  Frédéric",1862-63,N
